analysis,h,CPUtime
hw1-snaqTimeTests/out/bT1,0,103354.760381735
hw1-snaqTimeTests/out/net1_snaq,1,11648.984309726
hw1-snaqTimeTests/out/newtry1,1,88579.306341032
hw1-snaqTimeTests/out/timetest01_snaq,1,16688.01510346
hw1-snaqTimeTests/out/timetest02_snaq,1,37137.96354747
hw1-snaqTimeTests/out/timetest03_snaq,1,12630.994448551
hw1-snaqTimeTests/out/timetest04_snaq,1,21942.346502542
hw1-snaqTimeTests/out/timetest05_snaq,1,23949.375026384
hw1-snaqTimeTests/out/timetest06_snaq,1,39287.796202476
hw1-snaqTimeTests/out/timetest07_snaq,1,29822.147601027
hw1-snaqTimeTests/out/timetest08_snaq,1,51589.342317181
hw1-snaqTimeTests/out/timetest09_snaq,1,34831.465925074
hw1-snaqTimeTests/out/timetest10_snaq,1,29394.463493788
hw1-snaqTimeTests/out/timetest11_snaq,1,67926.502059791
hw1-snaqTimeTests/out/timetest12_snaq,1,18935.630572383
hw1-snaqTimeTests/out/timetest13_snaq,1,31456.993676184
